华银美景 2室1厅 83.42平米,近30天内成交,下载APP查看成交>,1**
华银美景 2室1厅 85平米,近30天内成交,下载APP查看成交>,1**
华银美景 3室1厅 96.38平米,2019.03.16,14215,137
华银美景 3室1厅 89.81平米,2019.03.13,14253,128
华银美景 3室2厅 84.09平米,2019.03.11,14723,123.8
华银美景 3室2厅 99.69平米,2019.01.23,9721,96.9
华银美景 2室2厅 75平米,2018.12.20,14367,107.8
华银美景 2室2厅 83.42平米,2018.10.21,14386,120
华银美景 3室1厅 89.18平米,2018.10.11,15923,142
华银美景 3室2厅 90平米,2018.09.23,14445,130
华银美景 2室2厅 86.06平米,2018.08.26,13712,118
华银美景 3室2厅 117.01平米,2018.06.13,15102,176.7
华银美景 3室2厅 90.06平米,2018.05.03,18433,166
华银美景 车位,2018.04.07,3548,10
华银美景 3室2厅 129.39平米,2018.04.07,15751,203.8
华银美景 车位,2018.03.18,1981,6
华银美景 2室2厅 79.27平米,2018.03.18,17283,137
华银美景 3室2厅 119.67平米,2018.03.18,16045,192
华银美景 3室2厅 90.1平米,2018.03.07,16926,152.5
华银美景 2室1厅 83.93平米,2018.03.05,16085,135
华银美景 2室2厅 79.34平米,2018.01.26,16965,134.6
华银美景 3室2厅 126平米,2017.12.25,13056,164.5
华银美景 2室2厅 84平米,2017.12.19,15477,130
华银美景 2室1厅 83平米,2017.11.13,14458,120
华银美景 3室2厅 89.18平米,2017.11.03,14578,130
华银美景 3室1厅 87.88平米,2017.11.02,15021,132
华银美景 2室2厅 68.47平米,2017.10.22,14605,100
华银美景 3室2厅 89.18平米,2017.09.29,14410,128.5
华银美景 2室2厅 86.06平米,2017.09.26,13619,117.2
华银美景 2室1厅 79.27平米,2017.09.21,14129,112
华银美景 3室1厅 79.27平米,2017.09.17,12805,101.5
华银美景 2室1厅 79.27平米,2017.09.15,14256,113
华银美景 2室2厅 84.3平米,2017.09.03,13049,110
华银美景 3室1厅 90.06平米,2017.08.29,13325,120
华银美景 3室2厅 89.8平米,2017.08.28,12584,113
华银美景 3室2厅 90.06平米,2017.08.24,13880,125
华银美景 2室2厅 85.99平米,2017.08.21,13025,112
华银美景 2室1厅 79.27平米,2017.08.17,11985,95
华银美景 2室2厅 68.47平米,2017.08.03,10954,75
华银美景 2室1厅 86平米,2017.07.30,11942,102.7
华银美景 2室1厅 84.87平米,2017.07.02,12019,102
华银美景 2室2厅 74平米,2017.06.22,10136,75
华银美景 4室2厅 128平米,2017.06.21,11875,152
华银美景 2室2厅 68.47平米,2017.06.08,12123,83
华银美景 3室2厅 117.1平米,2017.06.05,10231,119.8
华银美景 3室2厅 89.66平米,2017.06.04,12827,115
华银美景 3室2厅 109平米,2017.06.04,12661,138
华银美景 2室2厅 68.94平米,2017.05.02,11315,78
华银美景 3室2厅 132.46平米,2017.04.29,10570,140
华银美景 2室1厅 91.3平米,2017.04.12,9091,83
华银美景 3室2厅 118平米,2017.03.30,9323,110
华银美景 2室2厅 83.87平米,2017.03.25,9897,83
华银美景 3室2厅 96.53平米,2017.03.21,11396,110
华银美景 2室2厅 74.57平米,2017.03.11,10460,78
华银美景 3室2厅 131.9平米,2017.03.10,9098,120
华银美景 3室2厅 96.45平米,2017.03.03,10213,98.5
华银美景 2室2厅 68.3平米,2017.03.02,10367,70.8
华银美景 3室2厅 126平米,2017.02.27,7739,97.5
华银美景 3室2厅 84.09平米,2017.02.26,9560,80.4
华银美景 2室2厅 85平米,2017.02.25,7812,66.4
华银美景 3室2厅 117.01平米,2017.02.19,8119,95
华银美景 2室2厅 79.27平米,2017.02.14,9083,72
华银美景 2室1厅 79.49平米,2017.02.13,9662,76.8
华银美景 2室2厅 68.66平米,2017.02.13,9467,65
华银美景 2室1厅 68.47平米,2017.01.11,9640,66
华银美景 3室2厅 126.91平米,2017.01.09,8510,108
华银美景 2室2厅 75.41平米,2017.01.05,8222,62
华银美景 3室2厅 89.18平米,2017.01.03,8186,73
华银美景 2室2厅 86平米,2016.12.19,7617,65.5
华银美景 2室2厅 68.47平米,2016.12.19,8398,57.5
华银美景 2室2厅 83.68平米,2016.12.19,7768,65
华银美景 2室1厅 74.57平米,2016.12.18,7778,58
华银美景 3室2厅 96.45平米,2016.12.12,9643,93
华银美景 2室2厅 78.29平米,2016.11.25,7920,62
华银美景 2室2厅 92.6平米,2016.11.23,7668,71
华银美景 3室2厅 114.59平米,2016.11.19,7855,90
华银美景 2室2厅 74.57平米,2016.11.14,8114,60.5
华银美景 3室2厅 117.01平米,2016.11.09,8034,94
华银美景 3室2厅 108.72平米,2016.11.03,6991,76
华银美景 2室1厅 83.42平米,2016.10.30,7313,61
华银美景 3室2厅 108.72平米,2016.10.28,8003,87
华银美景 2室2厅 84.42平米,2016.10.24,6160,52
华银美景 2室2厅 83.91平米,2016.10.24,8224,69
华银美景 2室1厅 88.61平米,2016.10.24,7675,68
华银美景 3室2厅 96.53平米,2016.10.16,7356,71
华银美景 3室2厅 84.09平米,2016.10.16,7255,61
华银美景 3室2厅 112.86平米,2016.10.08,7089,80
华银美景 3室2厅 108.72平米,2016.10.06,8058,87.6
华银美景 3室2厅 96.45平米,2016.10.03,8274,79.8
华银美景 3室2厅 89.18平米,2016.09.29,8164,72.8
华银美景 2室2厅 68.47平米,2016.09.27,6573,45
华银美景 3室2厅 127.94平米,2016.09.27,5706,73
华银美景 2室2厅 75.41平米,2016.09.26,6565,49.5
华银美景 2室2厅 83.87平米,2016.09.25,7393,62
华银美景 2室1厅 74.95平米,2016.09.18,6005,45
华银美景 3室2厅 92.85平米,2016.09.14,6570,61
华银美景 3室2厅 126.96平米,2016.09.13,5120,65
华银美景 3室2厅 108.72平米,2016.09.10,6853,74.5
华银美景 3室2厅 116.89平米,2016.09.04,6485,75.8
华银美景 3室2厅 87.88平米,2016.09.02,7738,68
华银美景 2室2厅 85.07平米,2016.08.31,6995,59.5
华银美景 2室2厅 63.83平米,2016.08.28,8774,56
华银美景 2室2厅 83.42平米,2016.08.28,5994,50
华银美景 2室2厅 83.36平米,2016.08.26,5999,50
华银美景 4室2厅 124.65平米,2016.08.14,6860,85.5
华银美景 3室2厅 96.53平米,2016.08.12,6216,60
华银美景 3室2厅 89.27平米,2016.08.07,7282,65
华银美景 3室2厅 128.63平米,2016.08.01,4821,62
华银美景 3室2厅 116.89平米,2016.07.27,5390,63
华银美景 2室2厅 86.35平米,2016.07.26,7412,64
华银美景 2室2厅 68.3平米,2016.07.23,7468,51
华银美景 3室2厅 119.37平米,2016.07.20,6325,75.5
华银美景 2室2厅 68.47平米,2016.07.09,6719,46
华银美景 2室2厅 84平米,2016.06.09,5953,50
华银美景 3室2厅 122.35平米,2016.04.21,7030,86
华银美景 3室2厅 84.09平米,2016.04.03,6184,52
华银美景 3室2厅 108.72平米,2016.03.18,5473,59.5
华银美景 3室2厅 108.85平米,2015.08.10,5926,64.5
华银美景 2室1厅 68平米,2015.04.20,7589,51.6
华银美景 2室2厅 79.27平米,2014.01.12,5930,47
华银美景 3室2厅 87.88平米,2013.11.12,5975,52.5
