香年广场 1室0厅 50.36平米,近30天内成交,下载APP查看成交>,7*
香年广场 1室1厅 50.62平米,近30天内成交,下载APP查看成交>,7*
香年广场 1室1厅 50.57平米,2019.03.11,15227,77
香年广场 2室1厅 69.61平米,2019.03.08,16061,111.8
香年广场 1室1厅 50.34平米,2019.03.07,15793,79.5
香年广场 1室0厅 50.2平米,2019.03.05,15538,78
香年广场 1室1厅 53平米,2019.03.03,14717,78
香年广场 2室1厅 69.61平米,2019.02.28,15156,105.5
香年广场 1室1厅 50.36平米,2019.02.24,15489,78
香年广场 2室1厅 69.61平米,2019.02.20,15085,105
香年广场 1室1厅 50.57平米,2019.02.15,15104,76.4
香年广场 1室1厅 50.36平米,2019.01.30,14893,75
香年广场 1室1厅 51.25平米,2019.01.30,16586,85
香年广场 1室1厅 50.62平米,2019.01.27,14817,75
香年广场 1室1厅 53.55平米,2018.12.03,14006,75
香年广场 1室0厅 50.26平米,2018.11.08,15122,76
香年广场 1室1厅 46.39平米,2018.10.24,18539,86
香年广场 1室0厅 46.42平米,2018.10.19,17988,83.5
香年广场 2室1厅 69.7平米,2018.09.21,16069,112
香年广场 1室1厅 50.36平米,2018.09.17,15886,80
香年广场 1室1厅 46.39平米,2018.09.13,18647,86.5
香年广场 1室1厅 50.26平米,2018.09.09,15918,80
香年广场 1室0厅 50.58平米,2018.08.29,16149,81.7
香年广场 1室1厅 50.36平米,2018.08.06,16482,83
香年广场 1室1厅 46.38平米,2018.07.29,19405,90
香年广场 1室0厅 50.26平米,2018.07.26,16316,82
香年广场 1室1厅 53.82平米,2018.07.13,15236,82
香年广场 1室1厅 53.82平米,2018.07.09,15236,82
香年广场 1室1厅 46.53平米,2018.06.25,19988,93
香年广场 车位,2018.06.23,65000,208
香年广场 1室1厅 50.36平米,2018.06.13,16879,85
香年广场 1室1厅 50.36平米,2018.06.12,16879,85
香年广场 1室1厅 46.42平米,2018.05.15,18742,87
香年广场 2室2厅 67.77平米,2018.05.12,19478,132
香年广场 1室1厅 53.82平米,2018.04.24,15794,85
香年广场 1室1厅 50.34平米,2018.04.19,16290,82
香年广场 1室1厅 50.62平米,2018.04.09,17385,88
香年广场 1室1厅 53.82平米,2018.04.08,15794,85
香年广场 1室1厅 50.36平米,2018.04.04,16780,84.5
香年广场 1室1厅 50.36平米,2018.03.19,16085,81
香年广场 1室0厅 53.82平米,2018.03.18,15794,85
香年广场 1室1厅 50.36平米,2018.03.07,16482,83
香年广场 1室1厅 50.58平米,2018.01.07,17003,86
香年广场 1室0厅 50.26平米,2017.12.20,16515,83
香年广场 1室1厅 53.55平米,2017.12.13,15874,85
香年广场 1室0厅 50.36平米,2017.12.08,15886,80
香年广场 1室0厅 50.57平米,2017.11.26,15524,78.5
香年广场 1室1厅 50.62平米,2017.11.26,15014,76
香年广场 1室1厅 53.66平米,2017.11.12,16027,86
香年广场 1室1厅 50.34平米,2017.11.04,15694,79
香年广场 1室1厅 50.34平米,2017.11.03,14899,75
香年广场 1室1厅 46.38平米,2017.10.30,18112,84
香年广场 1室1厅 50.26平米,2017.10.30,15321,77
香年广场 1室0厅 53.55平米,2017.10.28,15127,81
香年广场 1室1厅 50.34平米,2017.10.27,15892,80
香年广场 1室0厅 50.34平米,2017.10.26,15495,78
香年广场 1室1厅 51.25平米,2017.10.24,16976,87
香年广场 1室0厅 50.62平米,2017.10.17,15409,78
香年广场 1室1厅 50.33平米,2017.10.13,15280,76.9
香年广场 1室0厅 29平米,2017.10.12,16552,48
香年广场 1室1厅 46.39平米,2017.09.19,16168,75
香年广场 2室1厅 69.61平米,2017.09.11,18245,127
香年广场 1室1厅 50.58平米,2017.03.21,14433,73
香年广场 1室1厅 50.06平米,2017.03.15,12885,64.5
香年广场 1室1厅 50.36平米,2017.03.10,13305,67
香年广场 1室0厅 53.82平米,2017.02.17,12264,66
香年广场 1室1厅 50.26平米,2017.02.10,13132,66
香年广场 1室0厅 29平米,2017.01.23,15518,45
香年广场 2室1厅 67.77平米,2017.01.06,11805,80
香年广场 1室1厅 50平米,2017.01.03,13200,66
香年广场 1室0厅 50.26平米,2016.12.25,13232,66.5
香年广场 1室1厅 50.36平米,2016.12.02,12113,61
香年广场 2室2厅 67.77平米,2016.11.21,12026,81.5
香年广场 1室1厅 46.42平米,2016.11.20,12926,60
香年广场 1室0厅 50.36平米,2016.11.19,11915,60
香年广场 1室1厅 49.36平米,2016.10.23,11953,59
香年广场 1室1厅 46.42平米,2016.10.17,12064,56
香年广场 1室1厅 53.82平米,2016.09.28,10554,56.8
香年广场 1室0厅 53.82平米,2016.09.26,10591,57
香年广场 1室1厅 50.36平米,2016.09.22,11438,57.6
香年广场 2室1厅 67.77平米,2016.09.08,10920,74
香年广场 1室1厅 50.62平米,2016.09.05,10826,54.8
香年广场 1室1厅 50.26平米,2016.08.30,10745,54
香年广场 1室0厅 50.36平米,2016.08.22,10624,53.5
香年广场 1室1厅 51.25平米,2016.08.13,10635,54.5
香年广场 2室2厅 69.61平米,2016.07.25,9769,68
香年广场 2室1厅 67.77平米,2016.07.20,10312,69.9
香年广场 1室0厅 53.82平米,2016.06.30,9848,53
香年广场 1室1厅 50.36平米,2016.06.06,10624,53.5
香年广场 1室1厅 53.28平米,2016.04.12,9760,52
香年广场 1室1厅 50.36平米,2016.04.07,10326,52
香年广场 1室0厅 50.58平米,2016.04.04,10084,51
香年广场 2室1厅 69.61平米,2016.03.19,9769,68
香年广场 2室2厅 69.61平米,2016.03.19,9841,68.5
香年广场 1室1厅 50.2平米,2016.03.14,10558,53
香年广场 1室1厅 50.58平米,2016.03.03,9886,50
香年广场 1室1厅 50.2平米,2016.02.18,10060,50.5
香年广场 1室0厅 50.36平米,2016.01.22,9929,50
香年广场 1室1厅 53.82平米,2016.01.22,9384,50.5
香年广场 2室1厅 67.77平米,2016.01.18,10256,69.5
香年广场 2室1厅 67.77平米,2016.01.04,10005,67.8
香年广场 1室0厅 50.34平米,2015.10.23,9834,49.5
香年广场 1室0厅 53平米,2015.09.20,9434,50
香年广场 1室1厅 53.82平米,近30天内成交,下载APP查看成交>,7*
香年广场 1室0厅 50.36平米,近30天内成交,下载APP查看成交>,7*
香年广场 1室1厅 50.62平米,2019.03.19,15409,78
香年广场 1室1厅 50.57平米,2019.03.11,15227,77
香年广场 2室1厅 69.61平米,2019.03.08,16061,111.8
香年广场 1室1厅 50.34平米,2019.03.07,15793,79.5
香年广场 1室0厅 50.2平米,2019.03.05,15538,78
香年广场 1室1厅 53平米,2019.03.03,14717,78
香年广场 2室1厅 69.61平米,2019.02.28,15156,105.5
香年广场 1室1厅 50.36平米,2019.02.24,15489,78
香年广场 2室1厅 69.61平米,2019.02.20,15085,105
香年广场 1室1厅 50.57平米,2019.02.15,15104,76.4
香年广场 1室1厅 50.36平米,2019.01.30,14893,75
香年广场 1室1厅 51.25平米,2019.01.30,16586,85
香年广场 1室1厅 50.62平米,2019.01.27,14817,75
香年广场 1室1厅 53.55平米,2018.12.03,14006,75
香年广场 1室0厅 50.26平米,2018.11.08,15122,76
香年广场 1室1厅 46.39平米,2018.10.24,18539,86
香年广场 1室0厅 46.42平米,2018.10.19,17988,83.5
香年广场 2室1厅 69.7平米,2018.09.21,16069,112
香年广场 1室1厅 50.36平米,2018.09.17,15886,80
香年广场 1室1厅 46.39平米,2018.09.13,18647,86.5
香年广场 1室1厅 50.26平米,2018.09.09,15918,80
香年广场 1室0厅 50.58平米,2018.08.29,16149,81.7
香年广场 1室1厅 50.36平米,2018.08.06,16482,83
香年广场 1室1厅 46.38平米,2018.07.29,19405,90
香年广场 1室0厅 50.26平米,2018.07.26,16316,82
香年广场 1室1厅 53.82平米,2018.07.13,15236,82
香年广场 1室1厅 53.82平米,2018.07.09,15236,82
香年广场 1室1厅 46.53平米,2018.06.25,19988,93
香年广场 车位,2018.06.23,65000,208
香年广场 1室1厅 50.36平米,2018.06.13,16879,85
香年广场 1室1厅 50.36平米,2018.06.12,16879,85
香年广场 1室1厅 46.42平米,2018.05.15,18742,87
香年广场 2室2厅 67.77平米,2018.05.12,19478,132
香年广场 1室1厅 53.82平米,2018.04.24,15794,85
香年广场 1室1厅 50.34平米,2018.04.19,16290,82
香年广场 1室1厅 50.62平米,2018.04.09,17385,88
香年广场 1室1厅 53.82平米,2018.04.08,15794,85
香年广场 1室1厅 50.36平米,2018.04.04,16780,84.5
香年广场 1室1厅 50.36平米,2018.03.19,16085,81
香年广场 1室0厅 53.82平米,2018.03.18,15794,85
香年广场 1室1厅 50.36平米,2018.03.07,16482,83
香年广场 1室1厅 50.58平米,2018.01.07,17003,86
香年广场 1室0厅 50.26平米,2017.12.20,16515,83
香年广场 1室1厅 53.55平米,2017.12.13,15874,85
香年广场 1室0厅 50.36平米,2017.12.08,15886,80
香年广场 1室0厅 50.57平米,2017.11.26,15524,78.5
香年广场 1室1厅 50.62平米,2017.11.26,15014,76
香年广场 1室1厅 53.66平米,2017.11.12,16027,86
香年广场 1室1厅 50.34平米,2017.11.04,15694,79
香年广场 1室1厅 50.34平米,2017.11.03,14899,75
香年广场 1室1厅 46.38平米,2017.10.30,18112,84
香年广场 1室1厅 50.26平米,2017.10.30,15321,77
香年广场 1室0厅 53.55平米,2017.10.28,15127,81
香年广场 1室1厅 50.34平米,2017.10.27,15892,80
香年广场 1室0厅 50.34平米,2017.10.26,15495,78
香年广场 1室1厅 51.25平米,2017.10.24,16976,87
香年广场 1室0厅 50.62平米,2017.10.17,15409,78
香年广场 1室1厅 50.33平米,2017.10.13,15280,76.9
香年广场 1室0厅 29平米,2017.10.12,16552,48
香年广场 1室1厅 46.39平米,2017.09.19,16168,75
香年广场 2室1厅 69.61平米,2017.09.11,18245,127
香年广场 1室1厅 50.58平米,2017.03.21,14433,73
香年广场 1室1厅 50.06平米,2017.03.15,12885,64.5
香年广场 1室1厅 50.36平米,2017.03.10,13305,67
香年广场 1室0厅 53.82平米,2017.02.17,12264,66
香年广场 1室1厅 50.26平米,2017.02.10,13132,66
香年广场 1室0厅 29平米,2017.01.23,15518,45
香年广场 2室1厅 67.77平米,2017.01.06,11805,80
香年广场 1室1厅 50平米,2017.01.03,13200,66
香年广场 1室0厅 50.26平米,2016.12.25,13232,66.5
香年广场 1室1厅 50.36平米,2016.12.02,12113,61
香年广场 2室2厅 67.77平米,2016.11.21,12026,81.5
香年广场 1室1厅 46.42平米,2016.11.20,12926,60
香年广场 1室0厅 50.36平米,2016.11.19,11915,60
香年广场 1室1厅 49.36平米,2016.10.23,11953,59
香年广场 1室1厅 46.42平米,2016.10.17,12064,56
香年广场 1室1厅 53.82平米,2016.09.28,10554,56.8
香年广场 1室0厅 53.82平米,2016.09.26,10591,57
香年广场 1室1厅 50.36平米,2016.09.22,11438,57.6
香年广场 2室1厅 67.77平米,2016.09.08,10920,74
香年广场 1室1厅 50.62平米,2016.09.05,10826,54.8
香年广场 1室1厅 50.26平米,2016.08.30,10745,54
香年广场 1室0厅 50.36平米,2016.08.22,10624,53.5
香年广场 1室1厅 51.25平米,2016.08.13,10635,54.5
香年广场 2室2厅 69.61平米,2016.07.25,9769,68
香年广场 2室1厅 67.77平米,2016.07.20,10312,69.9
香年广场 1室0厅 53.82平米,2016.06.30,9848,53
香年广场 1室1厅 50.36平米,2016.06.06,10624,53.5
香年广场 1室1厅 53.28平米,2016.04.12,9760,52
香年广场 1室1厅 50.36平米,2016.04.07,10326,52
香年广场 1室0厅 50.58平米,2016.04.04,10084,51
香年广场 2室1厅 69.61平米,2016.03.19,9769,68
香年广场 2室2厅 69.61平米,2016.03.19,9841,68.5
香年广场 1室1厅 50.2平米,2016.03.14,10558,53
香年广场 1室1厅 50.58平米,2016.03.03,9886,50
香年广场 1室1厅 50.2平米,2016.02.18,10060,50.5
香年广场 1室0厅 50.36平米,2016.01.22,9929,50
香年广场 1室1厅 53.82平米,2016.01.22,9384,50.5
香年广场 2室1厅 67.77平米,2016.01.18,10256,69.5
香年广场 2室1厅 67.77平米,2016.01.04,10005,67.8
香年广场 1室0厅 50.34平米,2015.10.23,9834,49.5
香年广场 1室0厅 53平米,2015.09.20,9434,50
香年广场 1室1厅 53.82平米,近30天内成交,下载APP查看成交>,7*
香年广场 1室0厅 50.36平米,近30天内成交,下载APP查看成交>,7*
香年广场 1室1厅 50.62平米,2019.03.19,15409,78
香年广场 1室1厅 50.57平米,2019.03.11,15227,77
香年广场 2室1厅 69.61平米,2019.03.08,16061,111.8
香年广场 1室1厅 50.34平米,2019.03.07,15793,79.5
香年广场 1室0厅 50.2平米,2019.03.05,15538,78
香年广场 1室1厅 53平米,2019.03.03,14717,78
香年广场 2室1厅 69.61平米,2019.02.28,15156,105.5
香年广场 1室1厅 50.36平米,2019.02.24,15489,78
香年广场 2室1厅 69.61平米,2019.02.20,15085,105
香年广场 1室1厅 50.57平米,2019.02.15,15104,76.4
香年广场 1室1厅 50.36平米,2019.01.30,14893,75
香年广场 1室1厅 51.25平米,2019.01.30,16586,85
香年广场 1室1厅 50.62平米,2019.01.27,14817,75
香年广场 1室1厅 53.55平米,2018.12.03,14006,75
香年广场 1室0厅 50.26平米,2018.11.08,15122,76
香年广场 1室1厅 46.39平米,2018.10.24,18539,86
香年广场 1室0厅 46.42平米,2018.10.19,17988,83.5
香年广场 2室1厅 69.7平米,2018.09.21,16069,112
香年广场 1室1厅 50.36平米,2018.09.17,15886,80
香年广场 1室1厅 46.39平米,2018.09.13,18647,86.5
香年广场 1室1厅 50.26平米,2018.09.09,15918,80
香年广场 1室0厅 50.58平米,2018.08.29,16149,81.7
香年广场 1室1厅 50.36平米,2018.08.06,16482,83
香年广场 1室1厅 46.38平米,2018.07.29,19405,90
香年广场 1室0厅 50.26平米,2018.07.26,16316,82
香年广场 1室1厅 53.82平米,2018.07.13,15236,82
香年广场 1室1厅 53.82平米,2018.07.09,15236,82
香年广场 1室1厅 46.53平米,2018.06.25,19988,93
香年广场 车位,2018.06.23,65000,208
香年广场 1室1厅 50.36平米,2018.06.13,16879,85
香年广场 1室1厅 50.36平米,2018.06.12,16879,85
香年广场 1室1厅 46.42平米,2018.05.15,18742,87
香年广场 2室2厅 67.77平米,2018.05.12,19478,132
香年广场 1室1厅 53.82平米,2018.04.24,15794,85
香年广场 1室1厅 50.34平米,2018.04.19,16290,82
香年广场 1室1厅 50.62平米,2018.04.09,17385,88
香年广场 1室1厅 53.82平米,2018.04.08,15794,85
香年广场 1室1厅 50.36平米,2018.04.04,16780,84.5
香年广场 1室1厅 50.36平米,2018.03.19,16085,81
香年广场 1室0厅 53.82平米,2018.03.18,15794,85
香年广场 1室1厅 50.36平米,2018.03.07,16482,83
香年广场 1室1厅 50.58平米,2018.01.07,17003,86
香年广场 1室0厅 50.26平米,2017.12.20,16515,83
香年广场 1室1厅 53.55平米,2017.12.13,15874,85
香年广场 1室0厅 50.36平米,2017.12.08,15886,80
香年广场 1室0厅 50.57平米,2017.11.26,15524,78.5
香年广场 1室1厅 50.62平米,2017.11.26,15014,76
香年广场 1室1厅 53.66平米,2017.11.12,16027,86
香年广场 1室1厅 50.34平米,2017.11.04,15694,79
香年广场 1室1厅 50.34平米,2017.11.03,14899,75
香年广场 1室1厅 46.38平米,2017.10.30,18112,84
香年广场 1室1厅 50.26平米,2017.10.30,15321,77
香年广场 1室0厅 53.55平米,2017.10.28,15127,81
香年广场 1室1厅 50.34平米,2017.10.27,15892,80
香年广场 1室0厅 50.34平米,2017.10.26,15495,78
香年广场 1室1厅 51.25平米,2017.10.24,16976,87
香年广场 1室0厅 50.62平米,2017.10.17,15409,78
香年广场 1室1厅 50.33平米,2017.10.13,15280,76.9
香年广场 1室0厅 29平米,2017.10.12,16552,48
香年广场 1室1厅 46.39平米,2017.09.19,16168,75
香年广场 2室1厅 69.61平米,2017.09.11,18245,127
香年广场 1室1厅 50.58平米,2017.03.21,14433,73
香年广场 1室1厅 50.06平米,2017.03.15,12885,64.5
香年广场 1室1厅 50.36平米,2017.03.10,13305,67
香年广场 1室0厅 53.82平米,2017.02.17,12264,66
香年广场 1室1厅 50.26平米,2017.02.10,13132,66
香年广场 1室0厅 29平米,2017.01.23,15518,45
香年广场 2室1厅 67.77平米,2017.01.06,11805,80
香年广场 1室1厅 50平米,2017.01.03,13200,66
香年广场 1室0厅 50.26平米,2016.12.25,13232,66.5
香年广场 1室1厅 50.36平米,2016.12.02,12113,61
香年广场 2室2厅 67.77平米,2016.11.21,12026,81.5
香年广场 1室1厅 46.42平米,2016.11.20,12926,60
香年广场 1室0厅 50.36平米,2016.11.19,11915,60
香年广场 1室1厅 49.36平米,2016.10.23,11953,59
香年广场 1室1厅 46.42平米,2016.10.17,12064,56
香年广场 1室1厅 53.82平米,2016.09.28,10554,56.8
香年广场 1室0厅 53.82平米,2016.09.26,10591,57
香年广场 1室1厅 50.36平米,2016.09.22,11438,57.6
香年广场 2室1厅 67.77平米,2016.09.08,10920,74
香年广场 1室1厅 50.62平米,2016.09.05,10826,54.8
香年广场 1室1厅 50.26平米,2016.08.30,10745,54
香年广场 1室0厅 50.36平米,2016.08.22,10624,53.5
香年广场 1室1厅 51.25平米,2016.08.13,10635,54.5
香年广场 2室2厅 69.61平米,2016.07.25,9769,68
香年广场 2室1厅 67.77平米,2016.07.20,10312,69.9
香年广场 1室0厅 53.82平米,2016.06.30,9848,53
香年广场 1室1厅 50.36平米,2016.06.06,10624,53.5
香年广场 1室1厅 53.28平米,2016.04.12,9760,52
香年广场 1室1厅 50.36平米,2016.04.07,10326,52
香年广场 1室0厅 50.58平米,2016.04.04,10084,51
香年广场 2室1厅 69.61平米,2016.03.19,9769,68
香年广场 2室2厅 69.61平米,2016.03.19,9841,68.5
香年广场 1室1厅 50.2平米,2016.03.14,10558,53
香年广场 1室1厅 50.58平米,2016.03.03,9886,50
香年广场 1室1厅 50.2平米,2016.02.18,10060,50.5
香年广场 1室0厅 50.36平米,2016.01.22,9929,50
香年广场 1室1厅 53.82平米,2016.01.22,9384,50.5
香年广场 2室1厅 67.77平米,2016.01.18,10256,69.5
香年广场 2室1厅 67.77平米,2016.01.04,10005,67.8
香年广场 1室0厅 50.34平米,2015.10.23,9834,49.5
香年广场 1室0厅 53平米,2015.09.20,9434,50
